CTDC_hydrophobicity.Group1,CTDC_hydrophobicity.Group2,CTDC_hydrophobicity.Group3,CTDC_normwaalsvolume.Group1,CTDC_normwaalsvolume.Group2,CTDC_normwaalsvolume.Group3,CTDC_polarity.Group1,CTDC_polarity.Group2,CTDC_polarity.Group3,CTDC_polarizability.Group1,CTDC_polarizability.Group2,CTDC_polarizability.Group3,CTDC_charge.Group1,CTDC_charge.Group2,CTDC_charge.Group3,CTDC_secondarystruct.Group1,CTDC_secondarystruct.Group2,CTDC_secondarystruct.Group3,CTDC_solventaccess.Group1,CTDC_solventaccess.Group2,CTDC_solventaccess.Group3
DDE_0043,0.37037037037037,0.308641975308642,0.320987654320988,0.419753086419753,0.320987654320988,0.259259259259259,0.345679012345679,0.283950617283951,0.37037037037037,0.271604938271605,0.469135802469136,0.259259259259259,0.185185185185185,0.666666666666667,0.148148148148148,0.493827160493827,0.320987654320988,0.185185185185185,0.432098765432099,0.37037037037037,0.197530864197531
DDE_0044,0.27683615819209,0.429378531073446,0.293785310734463,0.449152542372881,0.327683615819209,0.22316384180791,0.327683615819209,0.38135593220339,0.290960451977401,0.378531073446328,0.398305084745763,0.22316384180791,0.0988700564971751,0.785310734463277,0.115819209039548,0.449152542372881,0.234463276836158,0.31638418079096,0.488700564971751,0.27683615819209,0.234463276836158
DDE_0045,0.274131274131274,0.420849420849421,0.305019305019305,0.428571428571429,0.332046332046332,0.239382239382239,0.335907335907336,0.355212355212355,0.308880308880309,0.359073359073359,0.401544401544402,0.239382239382239,0.0965250965250965,0.791505791505791,0.111969111969112,0.432432432432432,0.305019305019305,0.262548262548263,0.478764478764479,0.274131274131274,0.247104247104247
DDE_0046,0.240437158469945,0.420765027322404,0.33879781420765,0.415300546448087,0.404371584699454,0.180327868852459,0.377049180327869,0.366120218579235,0.256830601092896,0.366120218579235,0.453551912568306,0.180327868852459,0.0546448087431694,0.863387978142076,0.0819672131147541,0.409836065573771,0.262295081967213,0.327868852459016,0.480874316939891,0.240437158469945,0.278688524590164
DDE_0047,0.253869969040248,0.436532507739938,0.309597523219814,0.430340557275542,0.294117647058824,0.275541795665635,0.346749226006192,0.356037151702786,0.297213622291022,0.328173374613003,0.396284829721362,0.275541795665635,0.130030959752322,0.789473684210526,0.0804953560371517,0.492260061919505,0.281733746130031,0.226006191950464,0.46749226006192,0.253869969040248,0.278637770897833
DDE_0048,0.249201277955272,0.402555910543131,0.348242811501597,0.428115015974441,0.351437699680511,0.220447284345048,0.357827476038339,0.351437699680511,0.29073482428115,0.338658146964856,0.440894568690096,0.220447284345048,0.0990415335463259,0.805111821086262,0.0958466453674121,0.450479233226837,0.258785942492013,0.29073482428115,0.479233226837061,0.249201277955272,0.271565495207668
DDE_0050,0.269430051813472,0.398963730569948,0.33160621761658,0.424870466321244,0.347150259067358,0.227979274611399,0.354922279792746,0.347150259067358,0.297927461139896,0.373056994818653,0.398963730569948,0.227979274611399,0.101036269430052,0.772020725388601,0.126943005181347,0.427461139896373,0.284974093264249,0.287564766839378,0.49740932642487,0.269430051813472,0.233160621761658
DDE_0053,0.222222222222222,0.45679012345679,0.320987654320988,0.440329218106996,0.345679012345679,0.213991769547325,0.358024691358025,0.407407407407407,0.234567901234568,0.382716049382716,0.403292181069959,0.213991769547325,0.0987654320987654,0.839506172839506,0.0617283950617284,0.444444444444444,0.271604938271605,0.283950617283951,0.547325102880658,0.222222222222222,0.230452674897119
DDE_0054,0.315054835493519,0.372881355932203,0.312063808574277,0.397806580259222,0.348953140578265,0.253240279162512,0.345962113659023,0.326021934197408,0.328015952143569,0.327018943170489,0.419740777666999,0.253240279162512,0.116650049850449,0.747756729810568,0.135593220338983,0.442671984047856,0.282153539381854,0.275174476570289,0.462612163509472,0.315054835493519,0.222333000997009
DDE_0056,0.256493506493506,0.399350649350649,0.344155844155844,0.451298701298701,0.383116883116883,0.165584415584416,0.353896103896104,0.37987012987013,0.266233766233766,0.376623376623377,0.457792207792208,0.165584415584416,0.0811688311688312,0.814935064935065,0.103896103896104,0.415584415584416,0.279220779220779,0.305194805194805,0.538961038961039,0.256493506493506,0.204545454545455
DDE_0057,0.286764705882353,0.367647058823529,0.345588235294118,0.404411764705882,0.334558823529412,0.261029411764706,0.363970588235294,0.319852941176471,0.316176470588235,0.305147058823529,0.433823529411765,0.261029411764706,0.102941176470588,0.790441176470588,0.106617647058824,0.455882352941176,0.286764705882353,0.257352941176471,0.485294117647059,0.286764705882353,0.227941176470588
DDE_0058,0.305471124620061,0.384498480243161,0.310030395136778,0.404255319148936,0.325227963525836,0.270516717325228,0.331306990881459,0.340425531914894,0.328267477203647,0.310030395136778,0.419452887537994,0.270516717325228,0.139817629179331,0.752279635258359,0.10790273556231,0.478723404255319,0.229483282674772,0.291793313069909,0.449848024316109,0.305471124620061,0.24468085106383
DDE_0059,0.262458471760797,0.438538205980066,0.299003322259136,0.45514950166113,0.302325581395349,0.242524916943522,0.318936877076412,0.378737541528239,0.302325581395349,0.411960132890365,0.345514950166113,0.242524916943522,0.0930232558139535,0.794019933554817,0.112956810631229,0.551495016611296,0.199335548172757,0.249169435215947,0.524916943521595,0.262458471760797,0.212624584717608
DDE_0060,0.375757575757576,0.266666666666667,0.357575757575758,0.290909090909091,0.412121212121212,0.296969696969697,0.375757575757576,0.23030303030303,0.393939393939394,0.272727272727273,0.43030303030303,0.296969696969697,0.109090909090909,0.715151515151515,0.175757575757576,0.503030303030303,0.296969696969697,0.2,0.387878787878788,0.375757575757576,0.236363636363636
DDE_0062,0.345054945054945,0.342857142857143,0.312087912087912,0.373626373626374,0.356043956043956,0.27032967032967,0.336263736263736,0.298901098901099,0.364835164835165,0.314285714285714,0.415384615384615,0.27032967032967,0.158241758241758,0.703296703296703,0.138461538461538,0.463736263736264,0.27032967032967,0.265934065934066,0.428571428571429,0.345054945054945,0.226373626373626
DDE_0063,0.299794661190965,0.40041067761807,0.299794661190965,0.427104722792608,0.316221765913758,0.256673511293634,0.33264887063655,0.342915811088296,0.324435318275154,0.365503080082136,0.37782340862423,0.256673511293634,0.119096509240246,0.772073921971253,0.108829568788501,0.427104722792608,0.275154004106776,0.297741273100616,0.445585215605749,0.299794661190965,0.254620123203285
DDE_0064,0.281138790035587,0.409252669039146,0.309608540925267,0.409252669039146,0.334519572953737,0.256227758007117,0.341637010676157,0.355871886120996,0.302491103202847,0.341637010676157,0.402135231316726,0.256227758007117,0.117437722419929,0.782918149466192,0.099644128113879,0.441281138790036,0.284697508896797,0.274021352313167,0.480427046263345,0.281138790035587,0.238434163701068
DDE_0065,0.280130293159609,0.400651465798046,0.319218241042345,0.387622149837134,0.368078175895765,0.244299674267101,0.358306188925081,0.332247557003257,0.309446254071661,0.351791530944625,0.403908794788274,0.244299674267101,0.0977198697068404,0.785016286644951,0.117263843648208,0.429967426710098,0.328990228013029,0.241042345276873,0.482084690553746,0.280130293159609,0.237785016286645
DDE_0066,0.30155979202773,0.41421143847487,0.2842287694974,0.44367417677643,0.351819757365685,0.204506065857886,0.298093587521664,0.383015597920277,0.318890814558059,0.362218370883882,0.433275563258232,0.204506065857886,0.105719237435009,0.778162911611785,0.116117850953206,0.512998266897747,0.216637781629116,0.270363951473137,0.469670710571924,0.30155979202773,0.228769497400347
DDE_0067,0.359223300970874,0.29126213592233,0.349514563106796,0.359223300970874,0.41747572815534,0.223300970873786,0.349514563106796,0.29126213592233,0.359223300970874,0.330097087378641,0.446601941747573,0.223300970873786,0.116504854368932,0.737864077669903,0.145631067961165,0.572815533980582,0.174757281553398,0.252427184466019,0.427184466019417,0.359223300970874,0.213592233009709
DDE_0068,0.330049261083744,0.334975369458128,0.334975369458128,0.399014778325123,0.389162561576355,0.211822660098522,0.349753694581281,0.315270935960591,0.334975369458128,0.32512315270936,0.463054187192118,0.211822660098522,0.133004926108374,0.733990147783251,0.133004926108374,0.527093596059113,0.211822660098522,0.261083743842365,0.463054187192118,0.330049261083744,0.206896551724138
DDE_0070,0.177985948477752,0.43559718969555,0.386416861826698,0.426229508196721,0.351288056206089,0.22248243559719,0.409836065573771,0.391100702576112,0.199063231850117,0.36768149882904,0.409836065573771,0.22248243559719,0.0749414519906323,0.868852459016393,0.0562060889929742,0.451990632318501,0.288056206088993,0.259953161592506,0.585480093676815,0.177985948477752,0.236533957845433
